Genre,Diversity Score,Coherence Score
all,0.78,-0.0006173845914217924
electronic,0.62,0.008522235735415464
rock,0.58,-0.009136640033188504
Hip-Hop,0.5,-0.0075360109651777295
indie,0.56,-0.005771446237560129
jazz,0.6,-0.009229269378106125
reggae,0.56,-0.0007501115990345031
british,0.6,-0.0022884856645245663
punk,0.52,-0.008167744023437461
80s,0.44,-0.008318601152984795
acoustic,0.54,-0.014555214491906924
rnb,0.52,-0.004469447080675475
hardcore,0.6,-0.00958050420990989
country,0.48,-0.01190932134435525
blues,0.56,-0.011765320004328634
alternative,0.58,-0.00628112199211348
rap,0.58,-0.010415867583937631
metal,0.6,-3.670349994480196e-05
